SHG temperature setpoint [C],SHG temperature [C],output power [mW]
45.7,45.0904,0.0
45.75,45.3592,0.0
45.800000000000004,45.5452,0.0
45.85,45.694,0.0
45.900000000000006,45.8752,0.0
45.95,45.916,0.0
46.0,46.0,0.0
46.050000000000004,46.0365,0.0
46.1,46.1129,0.0
46.150000000000006,46.2141,0.0
46.2,46.2353,0.0
46.25,46.2659,0.0
46.300000000000004,46.3482,0.0
46.35,46.3565,0.0
46.400000000000006,46.4706,0.0
46.45,46.4718,0.0
46.5,46.5365,0.0
46.550000000000004,46.5871,0.0
46.6,46.6188,0.0
46.650000000000006,46.6976,0.0
46.7,46.7106,0.0
46.75,46.7988,0.0
46.800000000000004,46.8247,0.0
46.85,46.8765,0.0
46.900000000000006,46.9412,0.0
46.95,46.9506,0.0
47.0,47.0565,0.0
47.050000000000004,47.0612,0.0
47.1,47.1541,0.0
47.150000000000006,47.1765,0.0
47.2,47.2388,0.0
47.25,47.2941,0.0
47.300000000000004,47.3212,0.0
47.35,47.4059,0.0
47.400000000000006,47.4118,0.0
47.45,47.5071,0.0
47.5,47.5294,0.0
47.550000000000004,47.5976,0.0
47.6,47.6459,0.0
47.650000000000006,47.6494,0.0
47.7,47.7647,0.0
47.75,47.7694,0.0
47.800000000000004,47.8588,0.0
47.85,47.8824,0.0
47.900000000000006,47.8953,0.0
47.95,48.0,0.0
48.0,48.0212,0.0
48.050000000000004,48.1165,0.0
48.1,48.1176,0.0
48.150000000000006,48.1765,0.0
48.2,48.2353,0.0
48.25,48.2859,0.0
48.300000000000004,48.3518,0.0
48.35,48.3529,0.0
48.400000000000006,48.4435,0.0
48.45,48.4729,0.0
48.5,48.5553,0.0
48.550000000000004,48.5882,0.0
48.6,48.62,0.0
48.650000000000006,48.7047,0.0
48.7,48.7176,0.0
48.75,48.8153,0.0
48.800000000000004,48.8235,0.0
48.85,48.9,0.0
48.900000000000006,48.9412,0.0
48.95,48.9588,5.46
49.0,49.0588,5.46
49.050000000000004,49.06,7.28
49.1,49.1635,7.28
49.150000000000006,49.1765,9.1
49.2,49.2047,9.1
49.25,49.2941,9.1
49.300000000000004,49.3412,10.92
49.35,49.4106,9.1
49.400000000000006,49.4129,10.92
49.45,49.4859,10.92
49.5,49.5294,10.92
49.550000000000004,49.6223,12.74
49.6,49.6471,14.56
49.650000000000006,49.6635,14.56
49.7,49.7506,16.38
49.75,49.7765,20.02
49.800000000000004,49.8824,21.84
49.85,49.8835,25.48
49.900000000000006,49.9435,29.12
49.95,49.9976,32.76
50.0,50.0688,40.04
50.050000000000004,50.125,45.5
50.1,50.1338,52.78
50.150000000000006,50.2338,58.24
50.2,50.25,65.52
50.25,50.3,72.8
50.300000000000004,50.3737,81.9
50.35,50.3813,89.18
50.400000000000006,50.4838,98.28
50.45,50.5,105.56
50.5,50.5263,114.66
50.550000000000004,50.625,121.94
50.6,50.6312,131.04
50.650000000000006,50.7263,138.32
50.7,50.75,145.6
50.75,50.7825,151.06
50.800000000000004,50.875,156.52
50.85,50.8863,161.98
50.900000000000006,50.9912,165.62
50.95,51.0,169.26
51.0,51.0162,171.08
51.050000000000004,51.125,171.08
51.1,51.1312,172.9
51.150000000000006,51.23,171.08
51.2,51.25,171.08
51.25,51.2763,167.44
51.300000000000004,51.375,161.98
51.35,51.3838,156.52
51.400000000000006,51.4913,149.24
51.45,51.5025,140.14
51.5,51.5687,132.86
51.550000000000004,51.625,123.76
51.6,51.675,114.66
51.650000000000006,51.75,105.56
51.7,51.7525,94.64
51.75,51.83,85.54
51.800000000000004,51.875,76.44
51.85,51.9325,67.34
51.900000000000006,52.0,58.24
51.95,52.0025,49.14
52.0,52.0788,41.86
52.050000000000004,52.125,34.58
52.1,52.1762,27.3
52.150000000000006,52.25,21.84
52.2,52.25,18.2
52.25,52.315,12.74
52.300000000000004,52.375,9.1
52.35,52.3887,7.28
52.400000000000006,52.4975,5.46
52.45,52.5,0.0
52.5,52.5437,0.0
52.550000000000004,52.625,0.0
52.6,52.635,0.0
52.650000000000006,52.745,0.0
52.7,52.75,0.0
52.75,52.7812,0.0
52.800000000000004,52.8675,0.0
52.85,52.8837,0.0
52.900000000000006,52.9825,0.0
52.95,53.0,0.0
53.0,53.0516,0.0
53.050000000000004,53.1188,0.0
53.1,53.1692,0.0
53.150000000000006,53.2388,0.0
53.2,53.2424,0.0
53.25,53.33,0.0
53.300000000000004,53.3588,0.0
53.35,53.4488,0.0
53.400000000000006,53.48,0.0
53.45,53.4968,0.0
53.5,53.5964,0.0
53.550000000000004,53.6,0.0
53.6,53.7008,0.0
53.650000000000006,53.72,0.0
53.7,53.7728,0.0
53.75,53.84,0.0
53.800000000000004,53.8412,0.0
53.85,53.8832,0.0
53.900000000000006,53.8664,0.0
53.95,53.8556,0.0
54.0,53.8604,0.0
54.050000000000004,53.8496,0.0
54.1,53.8616,0.0
54.150000000000006,53.8592,0.0
54.2,53.8532,0.0
54.25,53.8568,0.0
54.300000000000004,53.8544,0.0
54.35,53.858,0.0
54.400000000000006,53.8544,0.0
54.45,53.8556,0.0
