SHG temperature setpoint [C],SHG temperature [C],output power [mW]
54.5,53.8604,0.0
54.550000000000004,53.8544,0.0
54.6,53.8508,0.0
54.650000000000006,53.8496,0.0
54.7,53.8604,0.0
54.75,53.8592,0.0
54.800000000000004,53.8532,0.0
54.85,53.858,0.0
54.900000000000006,53.8496,0.0
54.95,53.8484,0.0
55.0,53.8604,0.0
55.050000000000004,53.8604,0.0
55.1,53.8544,0.0
55.150000000000006,53.852,0.0
55.2,53.8508,0.0
55.25,53.8508,0.0
55.300000000000004,53.8604,0.0
55.35,53.8532,0.0
55.400000000000006,53.8568,0.0
55.45,53.8616,0.0
55.5,53.864,0.0
55.550000000000004,53.858,0.0
55.6,53.8508,0.0
55.650000000000006,53.8592,0.0
55.7,53.8616,0.0
